source,state,year,county_fips,expected_records,fetched_records,retained_records,duplicate_records,invalid_date_count,invalid_geography_count,observed_min_date,observed_max_date,request_complete,coverage_valid,failure_reasons,source_url,source_checksum,unresolvable_geography_count,unresolvable_date_count
WI_COMMUNITY_MAPS,55,2013,55121,627,627,627,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55123,699,699,699,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55125,679,679,679,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55127,2035,2035,2035,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55129,336,336,336,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55131,3525,3525,3525,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55133,8035,8035,8035,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55135,1554,1554,1554,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55137,718,718,718,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55139,4345,4345,4345,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55141,1337,1337,1337,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55001,426,426,426,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55003,357,357,357,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55005,1023,1023,1023,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55007,390,390,390,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55009,4195,4195,4195,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55011,256,256,256,0,0,0,2014-01-04,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55013,265,265,265,0,0,0,2014-01-02,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55015,868,868,868,0,0,0,2014-01-01,2014-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55017,1491,1491,1491,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55019,658,658,658,0,0,0,2014-01-01,2014-12-30,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55021,1547,1547,1547,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55023,427,427,427,0,0,0,2014-01-02,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55025,11940,11940,11940,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55027,1690,1690,1690,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55029,915,915,915,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55031,1062,1062,1062,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55033,1060,1060,1060,0,0,0,2014-01-02,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55035,2883,2883,2883,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55037,103,103,103,0,0,0,2014-01-02,2014-12-29,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55039,2587,2587,2587,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55041,180,180,180,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2014,55043,1239,1239,1239,0,0,0,2014-01-01,2014-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
