alert_id,sent_utc,fips,state_fips,msg_type
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48473,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48371,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48309,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48425,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48229,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48491,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48415,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48479,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48311,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48039,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48287,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48409,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48349,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48135,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48373,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48051,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48041,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48327,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48027,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48001,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48417,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48283,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48389,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48127,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48411,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48495,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48089,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48451,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48457,48,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,2013-01-18T03:14:15.000Z,48239,48,Alert
