alert_id,msg_type
0dfd1d40-a1d9-4c61-93d5-1f60fb9aedf5,Cancel
25331b01-94bf-4529-b595-e78f6f08d5a8,Alert
f36dad12-2768-4d67-8976-619ccc9ad140,Alert
43a83448-d49c-4761-9d92-1a2e911ad46c,Cancel
baa26e42-b321-41cd-af99-caf67f203ee4,Cancel
1b831fba-b18c-44f0-89ca-eacf6fa010dd,Alert
6daf38be-64f5-4b46-b9b0-bc9836164179,Alert
a49d41d9-9be1-4b94-ac9b-c1cf33657363,Alert
fcea817b-87e1-499e-8570-fd35dc57b9ef,Cancel
ecf975f2-939b-41ea-ab33-930dd6d9e2f3,Alert
7f83b2d3-8d28-4b79-a55d-2f266ebd2484,Alert
469b5033-5287-4019-94f3-9b5d12f5d2f1,Alert
7e885cd8-7bae-440b-8272-6d01d6fa8a21,Cancel
20e45f65-be6b-4419-acef-cdb675275b0c,Cancel
f4de440f-fda6-4296-b5a6-9824d7f938aa,Alert
afe3dc64-4ad6-4208-b18c-4a6cd6a4a260,Alert
b2dfed5f-90fc-41b6-b8a7-6d5ec11473ff,Alert
7b98cffa-66cd-4d60-8397-166441a44330,Alert
a9303179-985a-4909-b77a-d954eb730f02,Cancel
cc0babdc-d338-45f4-97d9-af9a842c768c,Alert
3ad2d8ff-265f-471b-9cae-c4f0dbfc250d,Update
b7309b12-edfd-4825-ba94-72bfbad55386,Update
88906f0a-7cea-4c72-9a81-0403319f557d,Update
4f91d31d-f8ac-4945-addb-7a19dd09e218,Alert
6e6e8a09-2dc8-40e0-bbbb-54f0ba888187,Cancel
ce40a6e3-69ef-422d-84ff-784d29c4a2f3,Alert
890546b1-ca22-4a9a-a426-45244d97c3c3,Cancel
cfd6ecea-dd84-442f-9551-0fff0f11244b,Alert
d1e2ec3e-84ad-4d3f-9a3c-2569f3b67703,Cancel
f0015146-6e49-4d3f-b019-d9f79303e4a7,Alert
38f6344d-3824-4096-b815-94251927dfa1,Cancel
777f773b-ced3-4255-a4f7-9c0dda2cd4e4,Alert
f1c00e6f-150e-496c-b095-b07310d6d92f,Update
217c0127-aa1d-46c3-824f-9308f4e7e13d,Alert
784dd2ac-018e-4277-aa8a-e777aa508f7d,Alert
e0348f8d-2bc1-427e-8db7-b1ff69d51a35,Alert
e6d8e32e-c539-4132-8b95-3d8c096fedd4,Cancel
77bc4243-79a9-499c-9611-e30bd4a703a9,Alert
df9dc444-cf03-4efe-95d0-550fcc309493,Cancel
82448488-0593-47ba-aa43-151a57064472,Cancel
8fdb9fad-e962-4cd5-82f3-a3c6258598c2,Alert
aa45c116-a484-4b69-887b-8feed2dd949c,Update
198d8f0c-dd5e-4220-9796-911bda5597d3,Alert
8037ab45-8478-4939-b14b-33feca0a68a9,Alert
de1ac219-2130-4249-88d4-b364e3805cf1,Alert
ad4665ad-a514-4ae3-ae03-64fa44db9c3c,Alert
0fd466a0-00b0-4e7e-99ca-133317eda936,Alert
d8a5d462-5a60-4c2d-88a0-19a4cf16a75b,Cancel
c08f02e9-86ad-43e8-9835-eb8c8b98f16c,Cancel
d5770f3c-faba-452b-af08-75e1d78268d4,Cancel
c3106aca-e5b8-4b8f-88ec-69ea5ae52111,Cancel
14d1d117-877f-49e9-b185-4b7fabdd0568,Cancel
634706d6-2003-48a3-928c-2ab610750506,Cancel
efe10f10-a15b-4df6-abf9-145bcbf62149,Cancel
ad57e0bc-09c4-4134-bcd4-4e45a1e6d6ac,Alert
9ce96aec-809d-438c-9711-10dc4d2b3f18,Cancel
9e859bf7-9d99-474c-bebd-2dc36bae730f,Cancel
20c06335-aa9f-44ad-b803-3f6aa48dbe1e,Alert
48dd019a-7b0e-4184-bddc-6d968eb562ae,Alert
ec2d7359-2dcb-4bf2-8077-5f0804a71f30,Alert
ebfe95c3-2a18-4925-92ab-8e7c4b224c3e,Alert
8c0219ba-986c-4857-9c0f-9fe55fc4e86b,Alert
05c51a5c-e865-4fb1-bb5a-7664128edee3,Alert
bde0d34e-e222-4c79-b252-f064567e3fc1,Cancel
4f039e20-1d07-408a-b99f-b1bb5456db5b,Alert
98a216e2-b89b-46f2-a077-ecc337a9b745,Alert
38702f74-4dad-49d6-8328-a761b3f53187,Cancel
c3acc1cd-5a33-4eed-8c53-cffbda6611e9,Cancel
6666e8d6-a3ec-44b3-ae00-26d62d0b921e,Alert
b16f315e-6db3-4d91-bedb-e494e974e1e4,Alert
22a3aa11-8f61-4fb2-b55e-22d198569579,Alert
5d126d4c-b786-4ccf-a9d7-1e1f260437ee,Alert
c1d8b8e8-5ec1-4b1b-9b66-fd9330344602,Alert
596101ad-5fc1-4839-af81-627f97dcdd32,Alert
9d9ac49c-c1ad-4a1c-b254-f6bbd9a75b07,Alert
412cf538-1909-4553-a5e8-62c71a97d5d0,Alert
eaaad3f6-ad12-4069-bba0-9402731c0501,Alert
b042b76f-adc9-4f80-a64e-aae53c1e7688,Alert
9815439e-7ef8-47c0-af77-565773eb8ec9,Alert
d78f0f5c-16f4-4b30-b3d5-4534c6bf7e1f,Alert
bc19437c-52d1-487d-a740-c973058e24c5,Cancel
90840eef-a4d6-4c1d-8e09-0b71355589da,Cancel
b0b90557-c3cf-43a9-acb0-16dd1a016034,Cancel
1a5fe52f-ec57-41a6-afdd-335dbc9114d4,Alert
1a80eec8-d54b-40be-bfab-52c5bfc1b60d,Alert
4bca58d0-e847-4ee6-a815-5158021c8a8e,Cancel
6f354b43-f288-43c3-81cb-2906da1d246a,Cancel
dc7159a8-f911-46d9-a795-9eacfe7f2cd5,Alert
7d5d6e0f-f3f6-44c2-980b-465dc9a3e018,Alert
ee05ad11-ebd2-4327-912a-7dcdf15e81d6,Alert
b5b77713-d7a3-408d-907c-02feb9ef62f3,Cancel
5511971f-09cd-4552-a5b1-a262e76c060a,Cancel
3f023f27-2f5e-4354-8258-ab989f139a12,Alert
5d648752-432d-4f98-b630-b632d3931f9d,Alert
7c0af867-b92a-4d9c-9108-68e917261e1a,Alert
d4714e77-a620-49ee-add4-88e79d76df4c,Alert
3e1e8627-90f5-44e4-a08d-dad31a98ec8a,Alert
ebb2d3d3-0bf8-4656-844e-cec744d3c6e9,Alert
76f33500-dd9c-4417-936a-238e1065f7d2,Alert
a7c697ab-418b-4d96-b700-5b1f8c2dbd76,Cancel
88864bb3-745d-40ab-af5a-acfadebdfb48,Alert
4dfa13dc-4f20-4cb9-9f04-c1babf19e368,Alert
4a2a3626-6e96-4e3e-bfed-034db0b6049c,Alert
f83c7058-79c3-489c-83fc-f66c6a75c034,Alert
0750fcff-f62f-433b-9b81-7128b556758a,Alert
da4d6859-f7a9-488b-9565-e7080be2a643,Alert
4e011c25-4656-4352-9ba7-7617b4e384dd,Cancel
19b5c806-ba94-4606-9e1d-4165c10aea91,Alert
043755b3-e0f4-41e1-82ec-41a60822c3fa,Alert
ec94066a-c7f9-4956-a00d-875a76e1f6d5,Alert
6a717897-ac95-42d7-877e-ca6fd6b0dfb0,Alert
c22314e7-6b63-4561-b368-952c32427939,Alert
98c6144f-fc81-4c34-b590-a56ecc36e6f7,Alert
9ab781be-0ccf-42d8-bf01-f674eb16edfe,Alert
098a39bb-ce5e-4a62-ab87-9c2ee4983bc0,Cancel
ca1a7207-df0e-4786-8a3f-ccf75b67b474,Cancel
ca3876a1-d654-4898-a4f7-de9d1f754786,Cancel
7e52d668-1037-493f-a880-a4aa358003e9,Alert
d6188e87-5f11-4dc8-9309-43a7659ca51b,Cancel
80636a3e-447c-48c0-958a-35829a533923,Alert
2f46d1f5-8091-44dc-b076-969373090533,Cancel
2383337b-4284-4117-ab9b-635ca7c52b05,Alert
abbf0818-ed5d-4670-9dcd-f9faf8fba7c1,Alert
ea930c1f-4c7b-4fa1-bf0b-82e22b827fb3,Alert
8d9838b5-66b5-4b5b-915d-2f9bd461eb72,Cancel
ea16dc79-c6b7-46df-8003-ed5edd6ba4ac,Alert
1b9dda1d-0f4f-4a2a-80d7-d335b93a25e9,Cancel
7be5ac11-d4a3-40a1-ac91-408d97f4bfa9,Alert
48cfa526-b37d-43df-bfdc-c0cb1ff081e9,Cancel
a7e434ca-1247-4a99-b5b8-24530ecffb1b,Cancel
c9cb71f1-736f-4725-9ceb-9fbbb86b596a,Alert
c799294e-1566-4f60-8105-dd9dee5c3ab2,Cancel
f19366bf-e21d-4936-9a1a-750b275c1515,Alert
00fc1309-80ec-465a-b2c7-df4efcea1933,Cancel
b86df4bb-3fd9-4234-ad17-8d2b3aad6972,Alert
feeec666-8202-4772-babe-25572808e04e,Alert
19ea9cf8-dbbe-4c78-b958-a2875e9ff160,Cancel
fadc37e3-c541-4cd8-a194-8b494a7b3013,Alert
699de2b3-f3ac-43f6-a9d3-23ede9b3d02d,Alert
0b62faa5-fd4d-4d2d-b7c2-46270e9305f3,Cancel
dd0236c8-ab20-41aa-b02f-f12b9de1d31b,Alert
7a52286b-7f56-496c-a86d-a9dfcb9871d1,Alert
14f704c1-9c29-4aa5-87a2-ac6b987cbe55,Alert
5395160c-0fac-4d83-bafd-7493c1e5aa90,Cancel
a5a7fb00-ad45-4145-a63a-2e3f2afacb22,Cancel
26d270b5-e969-4ca1-9e07-1d97e3a43a97,Cancel
51edd02b-3cc7-49f0-b56f-fe1c2c0e7b7e,Alert
84aebece-c495-45d0-814b-e80730607318,Cancel
98311e11-bf82-46db-9419-86fbd43470b0,Alert
d344326b-8241-457d-ac82-92e037473a40,Alert
a7b3da1d-c849-4c2b-9c31-7db358c61be9,Cancel
9169e00a-97e5-4d42-a42f-0a36235019af,Cancel
061d16c4-9044-4fda-a061-963d6e900548,Alert
bae346dc-004e-48ed-9f3c-de0e0c955cf0,Cancel
678f3ad6-2bec-4b6f-96c6-dbbd4c0d0cf4,Alert
3f2825ea-97fd-4884-9cc8-2727ae0679a0,Alert
5f0d8592-2d5d-4638-8c38-3cb85a1945ab,Cancel
e2f150c9-d520-43f3-86b6-3cbbbce49c55,Alert
645a458c-b468-4dcb-af27-5b6b3324017a,Cancel
17e818a1-e72a-4355-9ef3-2ddf8cf05b2d,Cancel
ae7eaa93-9734-4844-ac2c-744474ebec9c,Alert
53113ff0-903f-4b2c-9d7b-ba1c04193393,Alert
32fd71d9-1fdd-42d5-8215-ca16a47abd04,Alert
6dbdf97e-069c-4ab4-8dbe-a19c01788336,Cancel
53179c3d-0ff3-475a-88f2-2c26a9ccbd35,Cancel
c2e83a3c-302e-4886-b261-f10ac3bb26ec,Cancel
e3f20358-ff8e-40ca-81cf-e83829cd1655,Alert
f5dcc137-8429-4d41-98c3-4c98ef761af3,Alert
b0e6371e-10d5-4ca3-a3d7-f155c705d1ce,Cancel
96952e78-cc53-423e-82fb-99170f11775b,Alert
875f98f7-1da3-47d0-b2e4-21981fd4b277,Cancel
c4fc4406-2ed6-4418-b4d7-97c82f73c8d1,Alert
66dc108e-d5b4-4fc8-93d8-2cd093d46ea7,Alert
e8ed401d-cd4e-41ae-aa6b-09d6362e1359,Cancel
0882e8c5-c954-4352-adaa-34f68851f6dc,Alert
064e86c2-a218-448c-9a52-a25301017d14,Cancel
c781f0ad-dc32-4f82-ba17-629957723ab4,Alert
f2b3e261-01c6-482e-aa0e-711c98ec1dca,Alert
1c2d71b8-d1bc-4cc4-a960-8f8aa8778041,Alert
50c7cceb-947f-496f-9184-18c32565b767,Alert
535dabb4-065a-43e5-b8df-f33c907bd5e3,Cancel
e3a92969-c03a-468b-af12-b6eff464602a,Alert
73455f25-5a05-4215-a223-d331ffb82b9c,Alert
6fdfc620-814f-4a29-98d3-ca998e1d46ad,Alert
12ba84a5-4f85-4e85-a8f4-8e543f59f172,Cancel
1a64d972-577d-473c-9356-1c8cc5f57dc4,Alert
8006b033-4a86-4531-8c81-2627ec0db0ff,Alert
1374d3d7-d933-4282-9093-b778899fc2ca,Cancel
986b691a-0caf-4926-8f5b-d7f3cedab33e,Alert
0605e115-6fb1-4e18-8412-a486e29eac21,Alert
3d1a2b82-b645-4f41-941a-c8723938e52b,Alert
c0187f11-7f43-4e54-8d20-97f7309542fc,Alert
77926a1d-432e-4583-ab71-5a9b801e4225,Cancel
b4e31d07-39e1-4ee3-b8f2-4b9c47d7ebbd,Alert
d8394e34-d5e6-42fb-91aa-165fad0ef78f,Cancel
68e86296-1c03-41e9-8b91-581a0c2ca8b3,Alert
8f1accde-28df-45dd-aaab-96086522cff8,Alert
30821664-e168-46e7-976a-87505876ec79,Alert
65a59e13-b778-43eb-8ecf-bd12760b2071,Cancel
efb3d6de-628b-4406-991b-d0f6504e0f8b,Alert
cc7d4860-3189-4f48-b7ee-889e301db09a,Cancel
a68f8432-f8dc-4c2e-a1d1-b28ebda2ff14,Alert
e79cabb5-dca6-4723-91a1-e60c0c8688c1,Alert
3b92b8b9-45f7-48a1-986b-41abfc17027b,Alert
a98ade04-a3f2-4f85-99e3-fdbf813c31b6,Cancel
4b5ff537-5d8a-46b4-b756-017dd1cfecd1,Alert
22540796-6048-4d7b-a149-de8265993284,Cancel
cb75a4b9-762e-457c-8cdc-7f06c8e95d29,Alert
e42adf7c-c8dd-4d2f-9be3-42bbe70e2515,Alert
811891bb-27cf-4aa2-a1c6-e52c28854c30,Alert
e0e207c9-9399-40ce-8056-8b5049fe7273,Alert
768f23dc-32fb-4c76-bff8-8e0672ae1229,Alert
78df094b-37c6-413d-876a-ff32dfd82e1e,Alert
6da8e9fd-e637-4a0a-8a35-eb44977db007,Alert
faaf30fc-0f4a-42b2-8842-55dd55efdac0,Cancel
214e7255-1415-44df-b1da-537a988eacf2,Cancel
1dd34861-80ce-4c6e-8fe9-a506a21f7af1,Cancel
05f18c4c-f0be-4c88-8c33-1625cda3da48,Alert
0adc53e5-6bd6-4304-a282-c6f6421b12fc,Cancel
6628ac93-b62a-4a64-a546-56a748d66afe,Alert
