alert_id,sent_utc,fips,state_fips,msg_type,event_code,event_text,matched_keyword,mentioned_age
a27fc88f-edf0-48fc-a50a-504a4d948d40,2021-02-06 01:28:08+00:00,51153,51,Alert,LAE,Local Area Emergency,senior alert,78.0
a27fc88f-edf0-48fc-a50a-504a4d948d40,2021-02-06 01:28:08+00:00,51510,51,Alert,LAE,Local Area Emergency,senior alert,78.0
a27fc88f-edf0-48fc-a50a-504a4d948d40,2021-02-06 01:28:08+00:00,51600,51,Alert,LAE,Local Area Emergency,senior alert,78.0
a27fc88f-edf0-48fc-a50a-504a4d948d40,2021-02-06 01:28:08+00:00,51610,51,Alert,LAE,Local Area Emergency,senior alert,78.0
028084c7-eb0a-4ade-bf9a-406a3dbd2ba6,2021-02-09 03:38:24+00:00,06085,06,Alert,LEW,Law Enforcement Warning,silver alert,
4b1e36f2-aea8-4ebd-b32b-5edee0d2aa34,2021-02-20 04:18:24+00:00,06037,06,Alert,LEW,Law Enforcement Warning,silver alert,
ad07d9a9-5d01-4d0f-afef-9c4542ef1a14,2021-02-23 22:17:43+00:00,06075,06,Alert,LEW,Law Enforcement Warning,silver alert,
ad07d9a9-5d01-4d0f-afef-9c4542ef1a14,2021-02-23 22:17:43+00:00,06081,06,Alert,LEW,Law Enforcement Warning,silver alert,
ad07d9a9-5d01-4d0f-afef-9c4542ef1a14,2021-02-23 22:17:43+00:00,06085,06,Alert,LEW,Law Enforcement Warning,silver alert,
aab95131-8ecf-4afe-9bc3-5acfcd02a9e5,2021-02-23 23:26:20+00:00,06075,06,Cancel,LEW,Law Enforcement Warning,silver alert,
aab95131-8ecf-4afe-9bc3-5acfcd02a9e5,2021-02-23 23:26:20+00:00,06081,06,Cancel,LEW,Law Enforcement Warning,silver alert,
aab95131-8ecf-4afe-9bc3-5acfcd02a9e5,2021-02-23 23:26:20+00:00,06085,06,Cancel,LEW,Law Enforcement Warning,silver alert,
416288d4-9fb6-45ed-bdf1-8fe7911b2dde,2021-03-12 21:04:05+00:00,06059,06,Alert,LEW,Law Enforcement Warning,silver alert,
6bd9d236-f72d-47b9-90fb-30ba523e71a2,2021-03-13 00:30:04+00:00,06059,06,Cancel,LEW,Law Enforcement Warning,silver alert,
725f7552-c9f5-4bc9-92b5-4c40d1a87428,2021-03-18 21:51:52+00:00,05007,05,Alert,LEW,Law Enforcement Warning,missing endangered,
a64e67c9-a0e3-469c-9114-60cb3ee61a9f,2021-03-21 20:16:54+00:00,06115,06,Alert,LEW,Law Enforcement Warning,silver alert,
bab034e8-e26c-4f65-9dad-4fed0e0292bc,2021-03-22 00:15:35+00:00,06115,06,Cancel,LEW,Law Enforcement Warning,silver alert,
8d2d85e5-5e85-48e9-843e-2d56f2a54bbe,2021-04-08 04:21:57+00:00,06059,06,Alert,LEW,Law Enforcement Warning,silver alert,
f0088132-5363-4a6f-a5ba-6f1226b8afdb,2021-04-08 05:01:55+00:00,06059,06,Cancel,LEW,Law Enforcement Warning,silver alert,
a029624f-1147-490a-8962-0b84abadb6b6,2021-04-14 03:10:22+00:00,04005,04,Alert,LEW,Page PD - Missing Person Assistance,missing elderly,75.0
ff918496-d7e1-412b-93e3-33c68eff56f4,2021-04-17 21:40:09+00:00,18003,18,Alert,LEW,Law Enforcement Warning,missing endangered,21.0
26e82a25-e343-4d64-bb72-4f3a1044f9e4,2021-04-21 02:12:23+00:00,06029,06,Alert,LEW,Law Enforcement Warning,silver alert,
54c7a4a8-d603-4ce2-8d30-f7aabdf0a14d,2021-04-21 19:07:16+00:00,06061,06,Alert,LEW,Law Enforcement Warning,silver alert,
