record_type,status,model,sample,window,window_start_hour,window_end_hour,window_duration_hours,specification,outcome,term,beta,se,pvalue,n_obs,n_counties,n_anchor_days,fe,cluster
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-23:00,5,23,18,robust,person_fatals,own_alert,1.485983996922642e-05,0.0002288976976929245,0.9485025231103776,2455488,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-23:00,5,23,18,robust,person_fatals,own_alert_x_hours_since_wake,-4.818950328135402e-05,3.0272521145783585e-05,0.11784850737843344,2455488,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-23:00,5,23,18,robust,person_fatals,cross_spillover,-0.0011814777602927237,0.0008542839662815896,0.1729337781015272,2455488,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-23:00,5,23,18,robust,person_fatals,cross_spillover_x_hours_since_wake,0.0004440848902210298,7.418774572741431e-05,2.459916867980638e-07,2455488,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-24:00,5,24,19,baseline,person_fatals,own_alert,-3.0136686951328962e-05,0.00021658800952459355,0.8899075345948755,2591904,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-24:00,5,24,19,baseline,person_fatals,own_alert_x_hours_since_wake,-3.789338429837238e-05,2.89728823239342e-05,0.19701304842775613,2591904,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-24:00,5,24,19,baseline,person_fatals,cross_spillover,-0.0009529797346696198,0.0009316847770649277,0.3113992439920321,2591904,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-24:00,5,24,19,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.00039565420742672164,9.282227224798925e-05,9.165220690232623e-05,2591904,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-24:00,5,24,19,robust,person_fatals,own_alert,-2.3556745668780024e-05,0.0002180203034099354,0.9143985235097309,2591904,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-24:00,5,24,19,robust,person_fatals,own_alert_x_hours_since_wake,-3.789345476992085e-05,2.897308518378618e-05,0.1970153123583127,2591904,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
