check,dropped,outcome,coef,se,pval,nobs,n_alert_hours,coef_shift_from_baseline
drop state 24 (0.6% of alert-hours),24,nonhighway_fatals,0.0003601705033384984,0.00019195258185966002,0.06656939748139212,942753,105994,1.4592689571150518e-05
drop state 36 (0.6% of alert-hours),36,highway_fatals,-0.00017464044567208192,3.5124743885355974e-05,8.515193022029521e-06,943059,106028,-3.077584781252052e-08
drop state 36 (0.6% of alert-hours),36,nonhighway_fatals,0.00030575931910206683,0.00019780084955836003,0.12858912967648672,943059,106028,-3.981849466528107e-05
drop state 16 (0.5% of alert-hours),16,highway_fatals,-0.00017481844773183173,3.4456770754792194e-05,6.00812484319313e-06,943275,106052,-2.0877790756233588e-07
drop state 16 (0.5% of alert-hours),16,nonhighway_fatals,0.00036085432092848124,0.00019227687713867434,0.06651454088031361,943275,106052,1.5276507161133342e-05
drop state 27 (0.5% of alert-hours),27,highway_fatals,-0.00017546678705576444,3.4620000650679974e-05,6.116515407272871e-06,943473,106074,-8.571172314950418e-07
drop state 27 (0.5% of alert-hours),27,nonhighway_fatals,0.00034822790606616567,0.00019458228050113895,0.07969627810640234,943473,106074,2.650092298817769e-06
drop state 04 (0.5% of alert-hours),04,highway_fatals,-0.0001701482547364405,3.55567929797416e-05,1.6089911767380727e-05,943878,106119,4.461415087828892e-06
drop state 04 (0.5% of alert-hours),04,nonhighway_fatals,0.00034371084331369877,0.000194726665298318,0.0837795490930957,943878,106119,-1.8669704536491342e-06
drop state 45 (0.5% of alert-hours),45,highway_fatals,-0.00016854314764152992,3.4450487926761525e-05,1.1180438068469911e-05,943995,106132,6.066522182739478e-06
drop state 45 (0.5% of alert-hours),45,nonhighway_fatals,0.00034045949485622207,0.00019527054635605474,0.08751336225209871,943995,106132,-5.118318911125834e-06
drop state 34 (0.5% of alert-hours),34,highway_fatals,-0.00017130916680912518,3.503784411570508e-05,1.1298045732965889e-05,944058,106139,3.300503015144212e-06
drop state 34 (0.5% of alert-hours),34,nonhighway_fatals,0.000331159142707318,0.00019582927917396981,0.09717728755432531,944058,106139,-1.4418671060029901e-05
drop state 20 (0.4% of alert-hours),20,highway_fatals,-0.0001744635217037984,3.472383772531777e-05,7.11668339548055e-06,944490,106187,1.4614812047098868e-07
drop state 20 (0.4% of alert-hours),20,nonhighway_fatals,0.00034147434457969277,0.00019553914811754427,0.08702179209632965,944490,106187,-4.103469187655129e-06
drop state 30 (0.4% of alert-hours),30,highway_fatals,-0.00017529068819737052,3.473918272343701e-05,6.6077796880836814e-06,944706,106211,-6.810183731011251e-07
drop state 30 (0.4% of alert-hours),30,nonhighway_fatals,0.00034382879838191035,0.0001955309637131364,0.08491766725168559,944706,106211,-1.7490153854375526e-06
drop state 19 (0.3% of alert-hours),19,highway_fatals,-0.0001749478143444199,3.4792505341490064e-05,7.019496189863972e-06,945453,106294,-3.381445201504948e-07
drop state 19 (0.3% of alert-hours),19,nonhighway_fatals,0.0003473864340751508,0.00019418164195826007,0.07980085437721152,945453,106294,1.808620307802906e-06
drop state 41 (0.3% of alert-hours),41,highway_fatals,-0.00017521266082973916,3.474887180921699e-05,6.691272636638601e-06,945926,106344,-6.029910054697622e-07
drop state 41 (0.3% of alert-hours),41,nonhighway_fatals,0.00034642774937894356,0.00019387499417939153,0.08014673541011219,945926,106344,8.49935611595663e-07
drop state 54 (0.2% of alert-hours),54,highway_fatals,-0.00017514001872447527,3.475099745673818e-05,6.746672625679295e-06,946332,106387,-5.303489002058694e-07
drop state 54 (0.2% of alert-hours),54,nonhighway_fatals,0.00034619573632172304,0.00019425001304270887,0.08091052797614551,946332,106387,6.179225543751356e-07
drop state 56 (0.2% of alert-hours),56,highway_fatals,-0.00017491697437143695,3.4749346939478864e-05,6.891473623094058e-06,946443,106404,-3.0730454716755e-07
drop state 56 (0.2% of alert-hours),56,nonhighway_fatals,0.00033871619565170596,0.00019524295994859578,0.08905513847495872,946443,106404,-6.861618115641937e-06
drop state 38 (0.2% of alert-hours),38,highway_fatals,-0.00017474058710359588,3.473083879052822e-05,6.94844560156227e-06,946695,106432,-1.3091727932648418e-07
drop state 38 (0.2% of alert-hours),38,nonhighway_fatals,0.0003481907304248533,0.00019366896905810303,0.07836105908965996,946695,106432,2.612916657505416e-06
drop state 32 (0.1% of alert-hours),32,highway_fatals,-0.00017488579792915832,3.469268576628998e-05,6.720213553634835e-06,947001,106466,-2.7612810488892897e-07
drop state 32 (0.1% of alert-hours),32,nonhighway_fatals,0.0003359676307098921,0.00019585988686869225,0.09259970543054497,947001,106466,-9.610183057455815e-06
drop state 31 (0.1% of alert-hours),31,highway_fatals,-0.0001748918845277556,3.471265115219401e-05,6.783428459389285e-06,947136,106481,-2.822147034862131e-07
drop state 31 (0.1% of alert-hours),31,nonhighway_fatals,0.0003458927111127854,0.00019414863036568023,0.08101463018026234,947136,106481,3.1489734543749606e-07
drop state 25 (0.1% of alert-hours),25,highway_fatals,-0.0001730504716620383,3.492758276140098e-05,9.039574570213205e-06,947235,106492,1.5591981622311072e-06
drop state 25 (0.1% of alert-hours),25,nonhighway_fatals,0.0003371402372601906,0.00019510816391453016,0.09029257648719402,947235,106492,-8.437576507157307e-06
drop state 23 (0.1% of alert-hours),23,highway_fatals,-0.00017480232231974327,3.473048777429282e-05,6.904932452256318e-06,947235,106492,-1.9265249547387175e-07
drop state 23 (0.1% of alert-hours),23,nonhighway_fatals,0.0003484174053032845,0.0001934992880868039,0.07792036706600425,947235,106492,2.839591535936585e-06
drop state 50 (0.1% of alert-hours),50,highway_fatals,-0.00017482180615023522,3.4735532595663087e-05,6.908968390506587e-06,947559,106528,-2.1213632596581958e-07
drop state 50 (0.1% of alert-hours),50,nonhighway_fatals,0.0003471283173523354,0.000193984438623151,0.07972122712984064,947559,106528,1.5505035849875228e-06
drop state 33 (0.1% of alert-hours),33,highway_fatals,-0.00017460328226626481,3.4757259018099794e-05,7.136511883221175e-06,947937,106570,6.387558004582053e-09
drop state 33 (0.1% of alert-hours),33,nonhighway_fatals,0.00034563172406374223,0.0001938831619521015,0.08083408450203233,947937,106570,5.391029639432825e-08
drop state 02 (0.0% of alert-hours),02,highway_fatals,-0.00017464393243317962,3.472248661705259e-05,6.986106438899853e-06,948198,106599,-3.4262608910223856e-08
drop state 02 (0.0% of alert-hours),02,nonhighway_fatals,0.00034565395559485245,0.0001938684737567725,0.08079288999699186,948198,106599,7.614182750455148e-08
drop state 10 (0.0% of alert-hours),10,highway_fatals,-0.0001746321727769199,3.473305907043138e-05,7.031117852829283e-06,948207,106600,-2.2502952650495798e-08
drop state 10 (0.0% of alert-hours),10,nonhighway_fatals,0.0003456341242987366,0.00019386760888093644,0.08080844937867226,948207,106600,5.631053138870339e-08
drop state 46 (0.0% of alert-hours),46,highway_fatals,-0.0001746315410389775,3.472792983770386e-05,7.013643351871934e-06,948315,106612,-2.187121470810147e-08
drop state 46 (0.0% of alert-hours),46,nonhighway_fatals,0.0003456290745954827,0.00019385729684427073,0.08079710397030371,948315,106612,5.1260828134796436e-08
drop state 44 (0.0% of alert-hours),44,highway_fatals,-0.00017462687007065034,3.473303485564678e-05,7.034721402066069e-06,948315,106612,-1.720024638094276e-08
drop state 44 (0.0% of alert-hours),44,nonhighway_fatals,0.0003455601245082032,0.00019387721160425434,0.08088600201872143,948315,106612,-1.768925914471045e-08
drop state 09 (0.0% of alert-hours),09,highway_fatals,-0.0001746176162220172,3.472959945558465e-05,7.0291446150339e-06,948359,106616,-7.946397747796282e-09
drop state 09 (0.0% of alert-hours),09,nonhighway_fatals,0.0003457060413713673,0.00019379930578688649,0.08064373908569111,948359,106616,1.2822760401940856e-07
drop state 15 (0.0% of alert-hours),15,highway_fatals,-0.00017461715073905648,3.473083234462777e-05,7.0337792652530595e-06,948360,106617,-7.480914787080318e-09
drop state 15 (0.0% of alert-hours),15,nonhighway_fatals,0.0003455635494441387,0.00019386768252665904,0.08086862533429673,948360,106617,-1.4264323209211508e-08
drop state 11 (0.0% of alert-hours),11,highway_fatals,-0.00017461589891272177,3.47298614657677e-05,7.031254733114167e-06,948378,106619,-6.229088452377107e-09
drop state 11 (0.0% of alert-hours),11,nonhighway_fatals,0.0003455941062352413,0.00019384578945989155,0.08080940036614637,948378,106619,1.629246789341737e-08
"drop top-3 states ['48', '13', '37'] (jointly)",48+13+37,highway_fatals,-0.00012071724021859182,6.283899621844496e-05,0.06080174961707718,448075,50069,5.3892429605677575e-05
