record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change
estimate,ok,spillover_joint,OR,WLS_TWFE,crashes_per_100k,night_alert,2.7504882576015866,0.7702976642772292,0.023361476510768142,65736.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,OR,WLS_TWFE,crashes_per_100k,log_spillover_commuters,0.0364794807679142,0.015388209845121978,0.07676971154477386,65736.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,OR,PPML_raw_count,crashes,night_alert,0.3535158093139288,0.12547398099491372,0.004840768228904446,65736.0,log_population_offset,,,0.33964646464646464,,,,1.4240655002719564,42.40655002719564
estimate,ok,spillover_joint,OR,PPML_raw_count,crashes,log_spillover_commuters,0.011939747627552698,0.004803095628994449,0.012924451833631778,65736.0,log_population_offset,,,0.33964646464646464,,,,1.012011310946636,1.201131094663599
estimate,ok,direct_vs_clean,OR,WLS_TWFE,crashes_per_100k,night_alert,2.995302781731662,1.2062048627488728,0.06797430286939643,65277.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,OR,WLS_TWFE,fatals_per_100k,log_spillover_commuters,0.00011829286309076132,0.0018736288076845419,0.9526875080385113,65736.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,OR,PPML_raw_count,fatals,log_spillover_commuters,0.018735842311545032,0.03807534201314293,0.6226678399133692,48528.0,log_population_offset,,,0.9627905561640502,,,,1.0189124595047456,1.8912459504745627
estimate,ok,spillover_joint,OR,WLS_TWFE,serious_per_100k,night_alert,-0.3984953603641359,0.049306575379928136,0.0012735106894468107,65736.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,OR,WLS_TWFE,serious_per_100k,log_spillover_commuters,-0.007885843460133537,0.004131501022168564,0.12893723847329897,65736.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,OR,PPML_raw_count,serious_inj,night_alert,-9.315412696086291,0.19965004239753179,0.0,64800.0,log_population_offset,,,0.8622520384568577,,,,9.002594097710024e-05,-99.99099740590229
estimate,ok,spillover_joint,OR,PPML_raw_count,serious_inj,log_spillover_commuters,-0.04399606064109177,0.015315268845249986,0.004069898173046704,64800.0,log_population_offset,,,0.8622520384568577,,,,0.956957727265569,-4.304227273443095
estimate,ok,direct_vs_clean,OR,WLS_TWFE,serious_per_100k,night_alert,-0.4194980514061261,0.039255078394821445,0.0004343883000763604,65277.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,TX,WLS_TWFE,crashes_per_100k,night_alert,0.409643651749339,0.11479229781476483,0.037590415843273384,371094.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,TX,WLS_TWFE,crashes_per_100k,log_spillover_commuters,-0.007468349563144144,0.023100382750832517,0.7676932654947004,371094.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,TX,PPML_raw_count,crashes,night_alert,0.039872175308506015,0.019214789944816946,0.037979366996694575,371094.0,log_population_offset,,,0.4391690515071653,,,,1.0406777413788937,4.067774137889368
estimate,ok,spillover_joint,TX,PPML_raw_count,crashes,log_spillover_commuters,0.00018902127683543011,0.003682088140862451,0.9590583014315017,371094.0,log_population_offset,,,0.4391690515071653,,,,1.0001890391424826,0.018903914248258324
estimate,ok,direct_vs_clean,TX,WLS_TWFE,crashes_per_100k,night_alert,0.8766187006969646,0.3639822425168914,0.0951526888325902,369121.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,TX,WLS_TWFE,fatals_per_100k,night_alert,0.024202562343966384,0.003588130313271397,0.006655064266635868,371094.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,TX,WLS_TWFE,fatals_per_100k,log_spillover_commuters,0.0004372782714241999,0.0006587310388547456,0.5542639574586699,371094.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,TX,PPML_raw_count,fatals,night_alert,0.500153769670326,0.0714761730782758,2.6059154834001674e-12,365250.0,log_population_offset,,,0.9642273925204935,,,,1.6489748135194815,64.89748135194814
estimate,ok,spillover_joint,TX,PPML_raw_count,fatals,log_spillover_commuters,0.01122397850203209,0.014156059090971864,0.42785093614315106,365250.0,log_population_offset,,,0.9642273925204935,,,,1.0112872036733125,1.1287203673312485
estimate,ok,direct_vs_clean,TX,WLS_TWFE,fatals_per_100k,night_alert,0.06217876065392853,0.013997733586045377,0.021215748715078364,369121.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,TX,WLS_TWFE,serious_per_100k,night_alert,0.010413826346631686,0.0016512829776495254,0.00805613739954647,371094.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,TX,WLS_TWFE,serious_per_100k,log_spillover_commuters,-0.0015068632480197788,0.0017519829238947593,0.45298485913110964,371094.0,rate_per_100k_population_weighted,,,,,,,,
estimate,ok,spillover_joint,TX,PPML_raw_count,serious_inj,night_alert,0.06444329340683198,0.03130130043241451,0.039512862587093744,371094.0,log_population_offset,,,0.8965491223248018,,,,1.066565095256829,6.656509525682908
