spec,outcome,term,status,coef,se_state_date,pval_state_date,nobs,bootstrap_reps,estimator,pval_wild,inference,analysis_counties,excluded_no_self_loop_counties,exposure_spec
sensitivity_drop_top_1pct_exposure,fatal_crashes,own_driver_distance,ok,0.000470451266436698,0.0005920945906827207,0.4307044824301739,7306946,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
sensitivity_drop_top_1pct_exposure,fatal_crashes,cross_driver_distance,ok,0.00040779371788565234,0.00029405684261086146,0.17178415758259863,7306946,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
leave_state_out_01,fatal_crashes,own_driver_distance,ok,0.00013112660212398708,0.0005995783270144091,0.8278125091626467,7059402,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_01,fatal_crashes,cross_driver_distance,ok,0.00031913863041645705,0.00013894524383493455,0.02603188155021205,7059402,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_02,fatal_crashes,own_driver_distance,ok,0.00011543157600021542,0.0005893192169716723,0.8455366407547535,7291648,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_02,fatal_crashes,cross_driver_distance,ok,0.00031961446059428864,0.00013996374186096676,0.026864751084007946,7291648,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_04,fatal_crashes,own_driver_distance,ok,0.00029090707012589763,0.0005666324713669214,0.6100291973562537,7247828,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_04,fatal_crashes,cross_driver_distance,ok,0.0002823578262385754,0.0001218250026302422,0.02477283691838887,7247828,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_05,fatal_crashes,own_driver_distance,ok,0.00011233238369764352,0.0005911743464058295,0.8500981707951967,7142660,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_05,fatal_crashes,cross_driver_distance,ok,0.00032271813495711037,0.00013919427702717852,0.02472921820465583,7142660,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_06,fatal_crashes,own_driver_distance,ok,0.00046848031714265726,0.00044083755011730546,0.2932331669720955,7076930,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_06,fatal_crashes,cross_driver_distance,ok,0.00026625450187181543,0.00011338004665691454,0.023024642759401588,7076930,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_08,fatal_crashes,own_driver_distance,ok,7.117268722078783e-05,0.0005991245018905119,0.9059339518125156,7217154,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_08,fatal_crashes,cross_driver_distance,ok,0.0003304969957736356,0.00014245976582850058,0.02464336339862253,7217154,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_10,fatal_crashes,own_driver_distance,ok,0.00011639404754981876,0.0005892676617174652,0.8442522020528314,7296030,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_10,fatal_crashes,cross_driver_distance,ok,0.00032366458159695157,0.00013988993567989126,0.025011323145549342,7296030,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_11,fatal_crashes,own_driver_distance,ok,0.00010940538952883333,0.0005888261462016369,0.853382587264667,7304794,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_11,fatal_crashes,cross_driver_distance,ok,0.0003223588886379696,0.00013901558363107525,0.024705896846831672,7304794,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_12,fatal_crashes,own_driver_distance,ok,0.00028372787351050655,0.0005719572013454528,0.6221125959094156,7050638,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_12,fatal_crashes,cross_driver_distance,ok,0.00030279532543619846,0.00014043537388706227,0.03611518220686297,7050638,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_13,fatal_crashes,own_driver_distance,ok,2.5561658535739328e-05,0.0006356393787458563,0.9680892486479649,6923560,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_13,fatal_crashes,cross_driver_distance,ok,0.000274453723215369,0.00010854676610578288,0.014800062539356396,6923560,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_15,fatal_crashes,own_driver_distance,ok,0.00012721307161934619,0.0005881535329723995,0.8296765177464671,7291648,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_15,fatal_crashes,cross_driver_distance,ok,0.00031461828355939354,0.00013668056579801063,0.02572603701058027,7291648,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_16,fatal_crashes,own_driver_distance,ok,0.00012118085108900109,0.0005901550061666994,0.8381769255996951,7247828,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_16,fatal_crashes,cross_driver_distance,ok,0.0003156399674131372,0.00013662147546084213,0.02521346674358394,7247828,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_17,fatal_crashes,own_driver_distance,ok,0.0001697801743581856,0.0005865148766562314,0.7734662027724474,7085694,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_17,fatal_crashes,cross_driver_distance,ok,0.0003125310034409322,0.00013613060646229966,0.02609664691840971,7085694,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_18,fatal_crashes,own_driver_distance,ok,8.555746095986255e-05,0.0005968778292167176,0.8866204269378903,7033110,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_18,fatal_crashes,cross_driver_distance,ok,0.00032772918200564327,0.00014126871463300162,0.024645299189138554,7033110,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_19,fatal_crashes,own_driver_distance,ok,0.00011046343474649517,0.0005918774692640135,0.8527355433427173,7243446,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_19,fatal_crashes,cross_driver_distance,ok,0.00032085758128698027,0.00013872982385036023,0.025064073263548533,7243446,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_20,fatal_crashes,own_driver_distance,ok,0.00012587795848765268,0.0005894011907041047,0.8317875717168585,7212772,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
