record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,cluster,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change
estimate,ok,spillover_joint,FL,PPML_raw_count,fatals,spillover_share_10pp,0.7648838857405181,0.0546240871485485,0.0,122141.0,log_population_offset,county+date,,,0.9060911216099132,,,,2.148744860251147,114.87448602511469
estimate,ok,spillover_joint,FL,WLS_TWFE,serious_per_100k,night_alert,-0.03773523385058478,0.03029985025350922,0.21739057421680696,122342.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,FL,WLS_TWFE,serious_per_100k,spillover_share_10pp,-0.02145095815645556,0.01901561404874638,0.2633741515395469,122342.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,FL,PPML_raw_count,serious_inj,night_alert,-0.16759504197837766,0.1324980987644866,0.20591205642851573,122342.0,log_population_offset,county+date,,,0.6796357751221984,,,,0.8456962368256911,-15.430376317430895
estimate,ok,spillover_joint,FL,PPML_raw_count,serious_inj,spillover_share_10pp,-0.08557521433319694,0.08464016079647742,0.31199374482112363,122342.0,log_population_offset,county+date,,,0.6796357751221984,,,,0.9179840948959028,-8.201590510409718
estimate,ok,spillover_joint,HI,WLS_TWFE,fatals_per_100k,night_alert,-0.07288122995653978,0.05535847889474158,0.25836222177037405,7300.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,HI,WLS_TWFE,fatals_per_100k,spillover_share_10pp,-5.00014719147568,4.8773994498381334,0.3632317890515171,7300.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,HI,PPML_raw_count,fatals,spillover_share_10pp,-181.84616873730005,177.66474958422216,0.3060547493696184,1380.0,log_population_offset,county+date,,,0.9486301369863014,,,,1.0597718077375735e-79,-100.0
estimate,ok,spillover_joint,IA,WLS_TWFE,crashes_per_100k,spillover_share_10pp,-0.1995166588460188,0.2182655288243449,0.3629075191327864,325413.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IA,PPML_raw_count,crashes,spillover_share_10pp,-0.045288786956117696,0.06444563391310171,0.4822152592112956,325413.0,log_population_offset,county+date,,,0.508403167666934,,,,0.9557214420905221,-4.427855790947788
estimate,ok,spillover_joint,IA,WLS_TWFE,fatals_per_100k,spillover_share_10pp,-0.004033658219485537,0.0029108349479711787,0.16897201530897177,325413.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IA,PPML_raw_count,fatals,spillover_share_10pp,-1.4009198815293153,1.4144214096545307,0.3219520763945194,181170.0,log_population_offset,county+date,,,0.9914539369969854,,,,0.24637022825026691,-75.36297717497331
estimate,ok,spillover_joint,IA,WLS_TWFE,serious_per_100k,spillover_share_10pp,0.04186155405604081,0.03028227027269074,0.1699979712915518,325413.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IA,PPML_raw_count,serious_inj,spillover_share_10pp,0.5130803951572325,0.1541491397504079,0.0008732520660053034,304623.0,log_population_offset,county+date,,,0.9676595587760783,,,,1.6704288588331222,67.04288588331222
estimate,ok,spillover_joint,IDCOMPASS,WLS_TWFE,crashes_per_100k,spillover_share_10pp,0.6969993139655286,3.64837211850631,0.8798257301774091,8034.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IDCOMPASS,PPML_raw_count,crashes,spillover_share_10pp,0.08098582044684025,0.7219239156387207,0.9106802522787112,8034.0,log_population_offset,county+date,,,0.0011202389843166542,,,,1.0843555207809987,8.435552078099873
estimate,ok,spillover_joint,IDCOMPASS,WLS_TWFE,fatals_per_100k,spillover_share_10pp,-0.030746444209081517,0.005303730007661436,0.10874607162854666,8034.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IDCOMPASS,PPML_raw_count,fatals,spillover_share_10pp,34.51011820137642,278.9773026799111,0.9015510353235168,906.0,log_population_offset,county+date,,,0.9414986308190192,,,,971748557647647.2,9.717485576476462e+16
estimate,ok,spillover_joint,IDCOMPASS,WLS_TWFE,serious_per_100k,spillover_share_10pp,0.406913127698195,0.657253187010514,0.6470874030399245,8034.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IDCOMPASS,PPML_raw_count,serious_inj,spillover_share_10pp,1.935476896694152,2.4528297935632293,0.4300657358110307,5162.0,log_population_offset,county+date,,,0.5943490166791138,,,,6.927346896592881,592.734689659288
estimate,ok,spillover_joint,IL,WLS_TWFE,crashes_per_100k,night_alert,-1.1659231718638299,1.1914209744853879,0.3301164555825735,298044.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IL,WLS_TWFE,crashes_per_100k,spillover_share_10pp,0.2702533400302681,0.17568237591341385,0.12710078777600464,298044.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,IL,PPML_raw_count,crashes,night_alert,-0.2397771926281481,0.20132244199028182,0.23364936474111708,298044.0,log_population_offset,county+date,,,0.319020010468253,,,,0.7868031470796859,-21.31968529203141
estimate,ok,spillover_joint,IL,PPML_raw_count,crashes,spillover_share_10pp,0.050583107651219,0.030489628021952445,0.09711040763026868,298044.0,log_population_offset,county+date,,,0.319020010468253,,,,1.051884279354295,5.188427935429507
estimate,ok,direct_vs_clean,IL,WLS_TWFE,crashes_per_100k,night_alert,-0.6965047007898081,0.4890383601786914,0.15746131394192564,296239.0,rate_per_100k_population_weighted,county+date,,,,,,,,
