record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,skipped,spillover_joint,MA,WLS_TWFE,fatals_per_100k,,,,,,,40908.0,0.0,0.9376894494964311,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,MA,PPML_raw_count,fatals,,,,,,,40908.0,0.0,0.9376894494964311,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,MA,WLS_TWFE,fatals_per_100k,,,,,,,40231.0,0.0,0.9380577166861376,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,MA,WLS_TWFE,serious_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,MA,PPML_raw_count,serious_inj,,,,,,,0.0,0.0,,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,MA,WLS_TWFE,serious_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,ok,spillover_joint,NC,WLS_TWFE,crashes_per_100k,,,,,,,109500.0,109500.0,0.1438082191780822,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,NC,PPML_raw_count,crashes,,,,,,,109500.0,109500.0,0.1438082191780822,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,NC,WLS_TWFE,crashes_per_100k,,,,,,,108919.0,108919.0,0.14424480577309745,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,NC,WLS_TWFE,fatals_per_100k,,,,,,,109500.0,109500.0,0.9573789954337899,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,NC,PPML_raw_count,fatals,,,,,,,109500.0,108600.0,0.9573789954337899,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,NC,WLS_TWFE,fatals_per_100k,,,,,,,108919.0,108919.0,0.9575647958574721,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,NC,WLS_TWFE,serious_per_100k,,,,,,,109500.0,109500.0,0.8892876712328767,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,NC,PPML_raw_count,serious_inj,,,,,,,109500.0,109500.0,0.8892876712328767,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,NC,WLS_TWFE,serious_per_100k,,,,,,,108919.0,108919.0,0.8898539281484406,night_alert,night_alert,,,,,,,
